current_a,resistance_uohm,temperature_c
100,5,21.10841085524163
100,10,21.435086052290615
100,20,22.088097937674434
100,50,24.04673479757207
100,100,27.310994137631383
200,5,24.43364342096629
200,10,25.740344209162686
200,20,28.35239175069779
200,50,36.18693919028823
200,100,49.24397655052576
300,5,29.9756976971741
300,10,32.9157744706161
300,20,38.79288143907007
300,50,56.42061317814847
300,100,85.79894723868267
400,5,37.734573683864994
400,10,42.9613768366508
400,20,53.40956700279122
400,50,84.74775676115291
400,100,136.97590620210286
500,5,47.71027138103932
500,10,55.87715130726713
500,20,72.20244844186158
500,50,121.16836993930178
500,100,202.77485344078656
